id,title,description,availability,condition,price,link,image_link,brand,product_type
bh-ramot-4p,"4 pièces – Ramot, Ashkelon","Programme neuf à Ramot, Ashkelon. Promoteur reconnu. Appartements de 4 pièces, de 109 à 111 m². Livraison 2029. Avec parking et cave selon les appartements. À partir de 2 181 818 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2181818 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ramot-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ramot-4p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-ramot-5p,"5 pièces – Ramot, Ashkelon","Programme neuf à Ramot, Ashkelon. Promoteur reconnu. Appartements de 5 pièces, de 124 à 167 m². Livraison 2029. Avec parking et cave selon les appartements. À partir de 2 454 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2454000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ramot-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ramot-5p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-ramot-6p,"6 pièces – Ramot, Ashkelon","Programme neuf à Ramot, Ashkelon. Promoteur reconnu. Appartements de 6 pièces, de 172 à 181 m². Livraison 2029. Avec parking et cave selon les appartements. À partir de 3 545 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3545000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ramot-6p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ramot-6p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-island-3p,"3 pièces – Island, Bat Yam","Programme neuf à Island, Bat Yam. Promoteur reconnu. Appartements de 3 pièces, 82 m². À partir de 3 100 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3100000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-island-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-island-3p.jpg,BH Nadlan,Immobilier neuf > Bat Yam
bh-island-4p,"4 pièces – Island, Bat Yam","Programme neuf à Island, Bat Yam. Promoteur reconnu. Appartements de 4 pièces, 116 m². À partir de 3 800 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3800000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-island-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-island-4p.jpg,BH Nadlan,Immobilier neuf > Bat Yam
bh-island-5p,"5 pièces – Island, Bat Yam","Programme neuf à Island, Bat Yam. Promoteur reconnu. Appartements de 5 pièces, 131 m². À partir de 4 300 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,4300000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-island-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-island-5p.jpg,BH Nadlan,Immobilier neuf > Bat Yam
bh-tours-u-3p,"3 pièces – Tours U, Bat Yam","Programme neuf à Tours U, quartier Ramat Anassi, Bat Yam. Promoteur reconnu. Appartements de 3 pièces, 82 m². Livraison Juin 2030. À partir de 2 700 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2700000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-tours-u-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-tours-u-3p.jpg,BH Nadlan,Immobilier neuf > Bat Yam
bh-tours-u-4p,"4 pièces – Tours U, Bat Yam","Programme neuf à Tours U, quartier Ramat Anassi, Bat Yam. Promoteur reconnu. Appartements de 4 pièces, 105 m². Livraison Juin 2030. À partir de 3 450 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3450000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-tours-u-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-tours-u-4p.jpg,BH Nadlan,Immobilier neuf > Bat Yam
bh-tours-u-5p,"5 pièces – Tours U, Bat Yam","Programme neuf à Tours U, quartier Ramat Anassi, Bat Yam. Promoteur reconnu. Appartements de 5 pièces, 127 m². Livraison Juin 2030. À partir de 3 890 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3890000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-tours-u-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-tours-u-5p.jpg,BH Nadlan,Immobilier neuf > Bat Yam
bh-central-park-4p,"4 pièces – Central Park, Beer Sheva","Programme neuf à Central Park, Beer Sheva. Promoteur reconnu. Appartements de 4 pièces. Livraison 12/décembre 2027/2028. À partir de 1 750 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1750000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-central-park-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-central-park-4p.jpg,BH Nadlan,Immobilier neuf > Beer Sheva
